DATE,TIME,PRICE,POSITIVE STOCK,NEGATIVE STOCK,TRADE SIDE
2022-11-12,07:49:24,3001,100,99,SHORT
2022-11-12,07:49:25,3013,99,103,LONG
2022-11-12,07:49:26,2994,102,111,SHORT
2022-11-12,07:49:27,2986,103,116,SHORT
2022-11-12,07:49:28,3006,107,121,SHORT
2022-11-12,07:49:29,2991,104,120,SHORT
2022-11-12,07:49:30,2982,98,115,SHORT
2022-11-12,07:49:31,2966,98,120,SHORT
2022-11-12,07:49:32,2947,99,119,SHORT
2022-11-12,07:49:33,2932,100,121,SHORT
2022-11-12,07:49:34,2914,106,123,SHORT
2022-11-12,07:49:35,2902,109,129,SHORT
2022-11-12,07:49:36,2884,105,123,SHORT
2022-11-12,07:49:37,2892,107,127,SHORT
2022-11-12,07:49:38,2886,112,122,SHORT
2022-11-12,07:49:39,2884,120,116,SHORT
2022-11-12,07:49:40,2899,128,123,LONG
2022-11-12,07:49:42,2891,134,131,LONG
2022-11-12,07:49:43,2879,131,139,LONG
2022-11-12,07:49:44,2883,135,138,SHORT
2022-11-12,07:49:45,2892,136,141,SHORT
2022-11-12,07:49:46,2879,134,148,SHORT
2022-11-12,07:49:47,2879,135,144,SHORT
2022-11-12,07:49:48,2886,134,139,SHORT
2022-11-12,07:49:49,2881,136,146,SHORT
2022-11-12,07:49:50,2887,134,154,SHORT
2022-11-12,07:49:51,2876,142,161,SHORT
2022-11-12,07:49:52,2856,137,168,SHORT
2022-11-12,07:49:53,2869,138,175,SHORT
2022-11-12,07:49:54,2857,133,181,SHORT
2022-11-12,07:49:55,2862,135,184,SHORT
2022-11-12,07:49:56,2879,132,187,SHORT
2022-11-12,07:49:57,2895,127,182,SHORT
2022-11-12,07:49:58,2910,130,189,SHORT
2022-11-12,07:49:59,2909,131,189,SHORT
2022-11-12,07:50:00,2923,136,192,SHORT
2022-11-12,07:50:01,2925,135,197,SHORT
2022-11-12,07:50:02,2914,138,202,SHORT
2022-11-12,07:50:03,2897,133,199,SHORT
2022-11-12,07:50:04,2887,135,196,SHORT
2022-11-12,07:50:05,2888,134,197,SHORT
2022-11-12,07:50:06,2899,136,193,SHORT
2022-11-12,07:50:07,2904,130,191,SHORT
2022-11-12,07:50:08,2905,126,198,SHORT
2022-11-12,07:50:09,2906,128,192,SHORT
2022-11-12,07:50:10,2898,122,196,SHORT
2022-11-12,07:50:11,2898,119,201,SHORT
2022-11-12,07:50:12,2898,126,205,SHORT
2022-11-12,07:50:13,2893,123,210,SHORT
2022-11-12,07:50:14,2907,120,216,SHORT
2022-11-12,07:50:15,2913,122,216,SHORT
2022-11-12,07:50:16,2929,119,219,SHORT
2022-11-12,07:50:17,2934,120,221,SHORT
2022-11-12,07:50:18,2919,117,217,SHORT
2022-11-12,07:50:19,2927,124,220,SHORT
